"OriginalURL","CleanDomain","IP","TLD","IsValid","IsUSLikely","Status"
"www.tuindorplansink.nl","tuindorplansink.nl","185.144.224.32","tuindorplansink.nl","True","False","Non-US (tuindorplansink.nl)"
"www.macacademy.nl","macacademy.nl","185.104.29.122","macacademy.nl","True","False","Non-US (macacademy.nl)"
"theaterdekunstgreep.nl","theaterdekunstgreep.nl","46.30.215.191","theaterdekunstgreep.nl","True","False","Non-US (theaterdekunstgreep.nl)"
"https://www.tebma.org.tw","tebma.org.tw","172.104.99.16","tebma.org.tw","True","False","Non-US (tebma.org.tw)"
"www.castnw.net","castnw.net","34.96.116.138","castnw.net","True","False","Non-US (castnw.net)"
"https://www.cvjm-wilgersdorf.de","cvjm-wilgersdorf.de","81.169.145.77","cvjm-wilgersdorf.de","True","False","Non-US (cvjm-wilgersdorf.de)"
"https://don.chu-toulouse.fr/soutenir","don.chu-toulouse.fr",,"don.chu-toulouse.fr","True","False","Non-US (don.chu-toulouse.fr)"
"shjong.nl","shjong.nl","37.46.140.20","shjong.nl","True","False","Non-US (shjong.nl)"
"https://www.weezevent.com/festimauges-2021","weezevent.com","3.167.56.105","weezevent.com","True","False","Non-US (weezevent.com)"
"https://www.dawateislamiusa.com/","dawateislamiusa.com","3.33.251.168","dawateislamiusa.com","True","False","Non-US (dawateislamiusa.com)"
"https://www.sihp.fr","sihp.fr","51.91.154.148","sihp.fr","True","False","Non-US (sihp.fr)"
"ideha.org","ideha.org","185.230.63.171","ideha.org","True","False","Non-US (ideha.org)"
"www.companythree.co.uk","companythree.co.uk","198.185.159.144","companythree.co.uk","True","False","Non-US (companythree.co.uk)"
"www.companythree.co.uk","companythree.co.uk","198.185.159.144","companythree.co.uk","True","False","Non-US (companythree.co.uk)"
"www.tura-pohlhausen-tennis.de","tura-pohlhausen-tennis.de","5.44.111.66","tura-pohlhausen-tennis.de","True","False","Non-US (tura-pohlhausen-tennis.de)"
"springoath.org","springoath.org","N/A","springoath.org","False","False","Failed"
"http://www.skadebanan.nu/","skadebanan.nu","46.137.114.201","skadebanan.nu","True","False","Non-US (skadebanan.nu)"
"http://www.kitabarfuss.de","kitabarfuss.de","81.169.145.148","kitabarfuss.de","True","False","Non-US (kitabarfuss.de)"
"https://smusi.usi.ch","smusi.usi.ch","195.176.53.226","smusi.usi.ch","True","False","Non-US (smusi.usi.ch)"
"southportlandfoodcupboard.org","southportlandfoodcupboard.org","185.230.63.107","southportlandfoodcupboard.org","True","False","Non-US (southportlandfoodcupboard.org)"
"https://www.volunteerwexford.ie","volunteerwexford.ie","185.151.30.167","volunteerwexford.ie","True","False","Non-US (volunteerwexford.ie)"
"https://www.huronchristianschool.ca","huronchristianschool.ca","51.222.44.158","huronchristianschool.ca","True","False","Non-US (huronchristianschool.ca)"
"lifestylechristianity.com","lifestylechristianity.com","141.193.213.20","lifestylechristianity.com","True","False","Non-US (lifestylechristianity.com)"
"https://www.imagesalberta.ca/","imagesalberta.ca","199.34.228.73","imagesalberta.ca","True","False","Non-US (imagesalberta.ca)"
"ablefund.org","ablefund.org","N/A","ablefund.org","False","False","Failed"
"saibook.org","saibook.org","3.167.112.27","saibook.org","True","False","Non-US (saibook.org)"
"https://www.pcomusic.org/","pcomusic.org","162.241.252.212","pcomusic.org","True","False","Non-US (pcomusic.org)"
"https://westlincolncc.com/","westlincolncc.com","192.124.249.139","westlincolncc.com","True","False","Non-US (westlincolncc.com)"
"https://rjpnql.com","rjpnql.com","35.208.63.31","rjpnql.com","True","False","Non-US (rjpnql.com)"
"https://santemonde.org","santemonde.org","148.113.223.54","santemonde.org","True","False","Non-US (santemonde.org)"
"www.centralbcs.org","centralbcs.org","141.193.213.11","centralbcs.org","True","False","Non-US (centralbcs.org)"
